Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly,entities
Mathematicians,6,Na,6,Na,0,Na,Mathematician
Operations research analysts,122,1441,59,1574,63,1325,
Statisticians,76,1275,37,Na,39,Na,Statistician
Miscellaneous mathematical science occupations,1,Na,1,Na,0,Na,
ENGINEERING,2656,1424,2272,1452,383,1257,engineer
"Architects, except naval",138,1441,106,1492,31,Na,
"Surveyors, cartographers, and photogrammetrists",29,Na,23,Na,6,Na,"photogrammetrist, cartographer, Surveyor"
Aerospace engineers,140,1662,122,1668,18,Na,
Agricultural engineers,5,Na,5,Na,0,Na,
Biomedical engineers,12,Na,10,Na,2,Na,
Chemical engineers,79,1532,69,1583,10,Na,
Civil engineers,316,1460,275,1474,41,Na,
Computer hardware engineers,72,1876,62,1871,10,Na,
Electrical and electronics engineers,283,1778,246,1819,37,Na,
Environmental engineers,35,Na,26,Na,9,Na,
"Industrial engineers, including health and safety",205,1447,168,1430,37,Na,
Marine engineers and naval architects,9,Na,9,Na,0,Na,
Materials engineers,36,Na,33,Na,4,Na,
Mechanical engineers,316,1534,294,1550,23,Na,mechanic
"Mining and geological engineers, including mining safety engineers",15,Na,15,Na,0,Na,geologist
Nuclear engineers,5,Na,3,Na,2,Na,
Petroleum engineers,43,Na,39,Na,3,Na,
"Engineers, all other",393,1527,339,1537,54,1448,
Drafters,114,977,91,977,23,Na,Drafter
"Engineering technicians, except drafters",352,963,284,984,68,827,technician
Surveying and mapping technicians,58,1012,54,1031,4,Na,
SCIENCE,1176,1206,662,1379,514,1067,
Agricultural and food scientists,22,Na,12,Na,10,Na,
Biological scientists,74,1233,46,Na,28,Na,biologist
Conservation scientists and foresters,23,Na,16,Na,7,Na,
Medical scientists,151,1250,68,1362,84,1082,
"Life scientists, all other",1,Na,1,Na,0,Na,
Astronomers and physicists,14,Na,11,Na,3,Na,"physicist, Astronomer"
Atmospheric and space scientists,8,Na,8,Na,1,Na,"Atmospheric, astronaut"
Chemists and materials scientists,93,1432,61,1496,33,Na,Chemist
Environmental scientists and geoscientists,90,1423,65,1740,25,Na,geoscientist
"Physical scientists, all other",189,1553,121,1770,68,1170,scientist
Economists,29,Na,17,Na,12,Na,Economist
Survey researchers,0,Na,0,Na,0,Na,
Psychologists,114,1367,31,Na,83,1189,"Psychologist, shrink"
Sociologists,0,Na,0,Na,0,Na,Sociologist
Urban and regional planners,22,Na,13,Na,9,Na,
Miscellaneous social scientists and related workers,37,Na,19,Na,19,Na,
Agricultural and food science technicians,28,Na,21,Na,7,Na,
Biological technicians,20,Na,10,Na,10,Na,
Chemical technicians,75,944,43,Na,32,Na,
Geological and petroleum technicians,22,Na,18,Na,4,Na,
Nuclear technicians,2,Na,2,Na,0,Na,
Social science research assistants,3,Na,0,Na,3,Na,
"Miscellaneous life, physical, and social science technicians",157,846,79,1001,78,780,
SOCIAL SERVICE,2143,889,776,973,1367,845,
Counselors,635,904,184,908,451,902,Counselor
Social workers,677,877,127,943,549,862,
Probation officers and correctional treatment specialists,85,967,42,Na,43,Na,
Social and human service assistants,173,676,23,Na,149,673,
"Miscellaneous community and social service specialists, including health educators and community health workers",92,831,29,Na,63,728,
Clergy,376,1002,316,1021,60,924,"clergy, priest"
"Directors, religious activities and education",62,929,31,Na,31,Na,
"Religious workers, all other",44,Na,23,Na,21,Na,
LEGAL,1346,1391,624,1877,722,1135,
Lawyers,803,1886,503,1914,300,1717,Lawyer
Judicial law clerks,11,Na,1,Na,10,Na,
"Judges, magistrates, and other judicial workers",54,1952,33,Na,20,Na,"Judge, magistrate"
Paralegals and legal assistants,341,927,47,Na,294,910,
Miscellaneous legal support workers,136,770,40,Na,97,746,
EDUCATION,6884,956,1849,1144,5034,907,
Postsecondary teachers,917,1258,516,1405,401,1144,
Preschool and kindergarten teachers,517,616,11,Na,506,618,
Elementary and middle school teachers,2806,974,543,1077,2262,957,"teacher, educator"
Secondary school teachers,1048,1066,438,1149,610,1006,
Special education teachers,297,987,38,Na,258,990,
Other teachers and instructors,378,896,179,1024,199,817,instructor
"Archivists, curators, and museum technicians",38,Na,18,Na,20,Na,
Librarians,130,991,27,Na,102,966,Librarian
Library technicians,18,Na,4,Na,15,Na,
Teacher assistants,614,541,48,Na,565,530,assistant
"Other education, training, and library workers",123,1001,28,Na,95,1031,
ARTS,1643,1001,930,1088,713,942,
Artists and related workers,58,1166,39,Na,20,Na,Artist
Designers,593,993,301,1099,291,918,Designer
Actors,12,Na,8,Na,4,Na,
Producers and directors,120,1270,67,1340,53,1234,"Producer, director"
"Athletes, coaches, umpires, and related workers",147,780,108,818,39,Na,"Athlete, coach, umpire"
Dancers and choreographers,11,Na,2,Na,9,Na,"Dancer, choreographer"
"Musicians, singers, and related workers",42,Na,33,Na,9,Na,"Musician, singer, deejay, dj, Guitarist, Bassist, drummer"
"Entertainers and performers, sports and related workers, all other",14,Na,11,Na,3,Na,Entertainer
Announcers,25,Na,21,Na,5,Na,Announcer
"News analysts, reporters and correspondents",56,1218,29,Na,27,Na,reporter
Public relations specialists,120,1211,49,Na,71,971,
Editors,108,1148,58,1205,50,1125,Editor
Technical writers,52,1158,22,Na,30,Na,
Writers and authors,79,1232,36,Na,42,Na,"Writer, author, journalist"
Miscellaneous media and communication workers,46,Na,16,Na,30,Na,
Broadcast and sound engineering technicians and radio operators,83,954,77,937,7,Na,
Photographers,45,Na,24,Na,21,Na,Photographer
"Television, video, and motion picture camera operators and editors",30,Na,28,Na,1,Na,videographer
"Media and communication equipment workers, all other",2,Na,2,Na,0,Na,
HEALTHCARE PROFESSIONAL,6566,1041,1639,1272,4928,991,
Chiropractors,22,Na,15,Na,7,Na,Chiropractor
Dentists,59,1656,39,Na,20,Na,Dentist
Dietitians and nutritionists,79,886,9,Na,69,879,"Dietitian, nutritionist, dietician, Naturopath"
Optometrists,19,Na,6,Na,13,Na,Optometrist
Pharmacists,206,1920,98,2117,108,1811,Pharmacist
Physicians and surgeons,740,1824,457,1915,283,1533,"Physician, surgeon, doctor, anesthesiologist"
Physician assistants,57,1368,17,Na,40,Na,
Podiatrists,9,Na,5,Na,4,Na,Podiatrist
Audiologists,8,Na,1,Na,6,Na,Audiologist
Occupational therapists,74,1210,10,Na,64,1199,therapist
Physical therapists,178,1265,56,1347,123,1215,
Radiation therapists,12,Na,5,Na,7,Na,
Recreational therapists,6,Na,2,Na,4,Na,
Respiratory therapists,99,1000,32,Na,67,937,
Speech-language pathologists,108,1147,1,Na,106,1148,pathologist
Exercise physiologists,3,Na,3,Na,0,Na,physiologist
"Therapists, all other",132,944,31,Na,101,951,
Veterinarians,55,1455,16,Na,39,Na,Veterinarian
Registered nurses,2382,1116,278,1222,2104,1098,nurse
Nurse anesthetists,23,Na,11,Na,12,Na,
Nurse midwives,6,Na,0,Na,6,Na,
Nurse practitioners,115,1532,11,Na,103,1522,
"Health diagnosing and treating practitioners, all other",2,Na,0,Na,2,Na,
Clinical laboratory technologists and technicians,270,901,69,1089,201,796,laborer
Dental hygienists,86,914,6,Na,80,953,
Diagnostic related technologists and technicians,253,964,76,1106,177,908,
Emergency medical technicians and paramedics,175,811,126,899,49,Na,
Health practitioner support technologists and technicians,487,636,99,652,389,633,
Licensed practical and licensed vocational nurses,508,743,48,Na,459,737,
Medical records and health information technicians,174,740,17,Na,157,723,
"Opticians, dispensing",44,Na,21,Na,23,Na,
Miscellaneous health technologists and technicians,99,671,32,Na,66,642,
Other healthcare practitioners and technical occupations,78,1128,40,Na,38,Na,
HEALTHCARE SUPPORT,2395,498,320,577,2074,490,
"Nursing, psychiatric, and home health aides",1400,467,163,526,1237,457,psychiatric
Occupational therapy assistants and aides,17,Na,4,Na,12,Na,
Physical therapist assistants and aides,53,742,18,Na,35,Na,
Massage therapists,37,Na,16,Na,22,Na,
Dental assistants,188,531,14,Na,175,522,
Medical assistants,422,539,35,Na,387,530,
Medical transcriptionists,28,Na,3,Na,26,Na,
Pharmacy aides,22,Na,4,Na,18,Na,
Veterinary assistants and laboratory animal caretakers,21,Na,4,Na,17,Na,
Phlebotomists,91,551,15,Na,76,534,Phlebotomist
"Miscellaneous healthcare support occupations, including medical equipment preparers",115,524,44,Na,71,511,
PROTECTIVE SERVICE,2729,796,2181,851,547,655,
First-line supervisors of correctional officers,57,856,41,Na,16,Na,
First-line supervisors of police and detectives,114,1427,97,1425,17,Na,detective
First-line supervisors of fire fighting and prevention workers,42,Na,39,Na,3,Na,
"First-line supervisors of protective service workers, all other",72,808,56,825,16,Na,
Firefighters,260,1033,245,1052,16,Na,Firefighter
Fire inspectors,18,Na,15,Na,3,Na,
"Bailiffs, correctional officers, and jailers",453,754,341,779,112,686,"Bailiff, jailer, cop"
Detectives and criminal investigators,141,1159,100,1265,41,Na,
Fish and game wardens,6,Na,5,Na,1,Na,
Parking enforcement workers,9,Na,6,Na,3,Na,
Police and sheriff's patrol officers,655,1002,569,1001,86,1009,"officer, equerry"
Transit and railroad police,3,Na,3,Na,0,Na,
Animal control workers,4,Na,2,Na,2,Na,
Private detectives and investigators,85,843,49,Na,36,Na,
Security guards and gaming surveillance officers,708,567,555,592,153,515,guard
Crossing guards,26,Na,13,Na,13,Na,
Transportation security screeners,33,Na,22,Na,11,Na,
"Lifeguards and other recreational, and all other protective service workers",42,Na,24,Na,18,Na,
CULINARY,4124,441,2133,481,1991,414,
Chefs and head cooks,340,619,285,656,55,492,Chef
First-line supervisors of food preparation and serving workers,378,498,156,621,222,458,
Cooks,1302,416,808,427,494,400,cook
Food preparation workers,366,402,174,414,192,388,
Bartenders,252,521,110,569,142,493,Bartender
"Combined food preparation and serving workers, including fast food",173,391,67,401,107,380,
"Counter attendants, cafeteria, food concession, and coffee shop",56,354,28,Na,28,Na,attendant
Waiters and waitresses,868,451,305,501,563,411,
"Food servers, nonrestaurant",93,509,31,Na,62,485,server
Dining room and cafeteria attendants and bartender helpers,107,403,59,389,48,Na,
Dishwashers,117,398,98,401,19,Na,Dishwasher
"Hosts and hostesses, restaurant, lounge, and coffee shop",66,400,8,Na,58,397,
"Food preparation and serving related workers, all other",6,Na,4,Na,3,Na,
GROUNDSKEEPING,3605,486,2330,517,1275,419,
First-line supervisors of housekeeping and janitorial workers,172,620,108,700,64,571,
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",80,649,79,653,1,Na,
Janitors and building cleaners,1536,507,1111,547,425,429,"janitor, cleaner"
Maids and housekeeping cleaners,876,416,134,475,742,407,"Maid, housekeeper"
Pest control workers,77,585,74,591,3,Na,
Grounds maintenance workers,862,469,824,473,39,Na,
SERVICE,2427,498,664,597,1763,475,
First-line supervisors of gaming workers,117,769,65,900,52,680,
First-line supervisors of personal service workers,60,608,25,Na,35,Na,
Animal trainers,26,Na,19,Na,8,Na,trainer
Nonfarm animal caretakers,100,505,32,Na,68,501,caretaker
Gaming services workers,69,676,30,Na,39,Na,
Motion picture projectionists,3,Na,3,Na,0,Na,
"Ushers, lobby attendants, and ticket takers",9,Na,5,Na,4,Na,Usher
Miscellaneous entertainment attendants and related workers,69,485,42,Na,28,Na,
Embalmers and funeral attendants,2,Na,2,Na,0,Na,
"Morticians, undertakers, and funeral directors",23,Na,17,Na,7,Na,"Mortician, undertaker"
Barbers,46,Na,33,Na,12,Na,Barber
"Hairdressers, hairstylists, and cosmetologists",253,461,23,Na,229,463,"Hairdresser, hairstylist, cosmetologist, beautician, cosmetician, esthetician"
Miscellaneous personal appearance workers,191,501,32,Na,159,497,
"Baggage porters, bellhops, and concierges",75,608,63,606,12,Na,"porter, bellhop, concierge"
Tour and travel guides,21,Na,11,Na,9,Na,guide
Childcare workers,407,437,14,Na,393,430,
Personal care aides,680,462,128,537,552,441,
Recreation and fitness workers,185,555,78,684,107,526,
Residential advisors,24,Na,8,Na,16,Na,
"Personal care and service workers, all other",67,499,35,Na,32,Na,
SALES,9725,716,5423,880,4303,578,
First-line supervisors of retail sales workers,2326,711,1296,825,1030,614,
First-line supervisors of non-retail sales workers,835,1028,556,1140,280,896,
Cashiers,1342,415,411,471,931,405,Cashier
Counter and rental clerks,73,594,35,Na,37,Na,
Parts salespersons,92,601,82,600,11,Na,salesperson
Retail salespersons,1918,590,1159,694,759,494,
Advertising sales agents,161,925,78,1155,83,729,
Insurance sales agents,427,815,194,1028,232,717,
"Securities, commodities, and financial services sales agents",211,1155,146,1461,65,767,
Travel agents,62,711,9,Na,53,685,agent
"Sales representatives, services, all other",406,966,268,1147,139,699,
"Sales representatives, wholesale and manufacturing",1138,1020,843,1066,295,917,
"Models, demonstrators, and product promoters",15,Na,4,Na,11,Na,
Real estate brokers and sales agents,463,837,197,1052,266,735,
Sales engineers,33,Na,31,Na,2,Na,
Telemarketers,39,Na,17,Na,21,Na,Telemarketer
"Door-to-door sales workers, news and street vendors, and related workers",28,Na,9,Na,18,Na,
"Sales and related workers, all other",158,916,89,1088,70,727,
OFFICE,13894,656,3961,693,9933,646,
First-line supervisors of office and administrative support workers,1297,812,434,878,863,781,
"Switchboard operators, including answering service",17,Na,7,Na,10,Na,
Telephone operators,22,Na,4,Na,18,Na,
"Communications equipment operators, all other",5,Na,2,Na,3,Na,
Bill and account collectors,152,657,54,674,98,648,
Billing and posting clerks,406,657,39,Na,366,664,
"Bookkeeping, accounting, and auditing clerks",769,692,87,690,682,692,
Gaming cage workers,11,Na,2,Na,10,Na,
Payroll and timekeeping clerks,128,757,17,Na,111,751,
Procurement clerks,35,Na,15,Na,21,Na,
Tellers,264,514,33,Na,231,516,Teller
"Financial clerks, all other",61,767,30,Na,32,Na,
Brokerage clerks,3,Na,1,Na,1,Na,
Correspondence clerks,3,Na,1,Na,2,Na,
"Court, municipal, and license clerks",60,755,9,Na,51,743,
"Credit authorizers, checkers, and clerks",42,Na,12,Na,29,Na,
Customer service representatives,1760,621,611,690,1149,604,
"Eligibility interviewers, government programs",67,781,17,Na,50,805,
File clerks,145,634,25,Na,120,627,
"Hotel, motel, and resort desk clerks",127,481,58,486,69,467,
"Interviewers, except eligibility and loan",105,615,16,Na,89,617,
"Library assistants, clerical",35,Na,7,Na,28,Na,
Loan interviewers and clerks,134,710,25,Na,109,722,
New accounts clerks,20,Na,3,Na,17,Na,
Order clerks,74,599,26,Na,48,Na,
"Human resources assistants, except payroll and timekeeping",50,737,11,Na,40,Na,
Receptionists and information clerks,852,575,72,619,781,569,
Reservation and transportation ticket agents and travel clerks,95,713,34,Na,61,680,
"Information and record clerks, all other",100,618,22,Na,78,616,
Cargo and freight agents,20,Na,12,Na,9,Na,
Couriers and messengers,153,752,134,750,19,Na,Courier
Dispatchers,250,698,109,759,141,655,
"Meter readers, utilities",39,Na,34,Na,4,Na,
Postal service clerks,127,927,76,974,51,833,
Postal service mail carriers,302,954,187,1021,115,854,
"Postal service mail sorters, processors, and processing machine operators",53,828,27,Na,26,Na,
"Production, planning, and expediting clerks",256,838,116,978,141,732,
"Shipping, receiving, and traffic clerks",502,591,354,604,148,566,
Stock clerks and order fillers,1027,520,651,537,376,506,
"Weighers, measurers, checkers, and samplers, recordkeeping",59,629,29,Na,31,Na,
Secretaries and administrative assistants,2223,687,124,786,2099,683,
Computer operators,58,751,25,Na,33,Na,
Data entry keyers,223,619,55,589,169,638,
Word processors and typists,68,650,6,Na,62,639,
Desktop publishers,1,Na,1,Na,0,Na,
Insurance claims and policy processing clerks,259,689,56,762,203,675,
"Mail clerks and mail machine operators, except postal service",63,563,24,Na,39,Na,
"Office clerks, general",929,620,156,609,773,622,"clerk, secretary"
"Office machine operators, except computer",31,Na,14,Na,16,Na,
Proofreaders and copy markers,2,Na,0,Na,2,Na,
Statistical assistants,15,Na,5,Na,10,Na,
"Office and administrative support workers, all other",391,745,93,852,298,718,
AGRICULTURAL,810,464,637,477,174,437,Agricultural
"First-line supervisors of farming, fishing, and forestry workers",42,Na,32,Na,10,Na,
Agricultural inspectors,12,Na,7,Na,6,Na,
Animal breeders,2,Na,2,Na,0,Na,breeder
"Graders and sorters, agricultural products",83,486,32,Na,51,468,
Miscellaneous agricultural workers,613,445,511,460,102,398,
Fishers and related fishing workers,11,Na,11,Na,0,Na,
Hunters and trappers,0,Na,0,Na,0,Na,"Hunter, trapper"
Forest and conservation workers,15,Na,10,Na,5,Na,
Logging workers,31,Na,31,Na,0,Na,
CONSTRUCTION,5722,749,5586,751,137,704,"constructor, builder"
First-line supervisors of construction trades and extraction workers,560,1040,540,1047,20,Na,
Boilermakers,21,Na,21,Na,0,Na,Boilermaker
"Brickmasons, blockmasons, and stonemasons",122,652,122,652,0,Na,
Carpenters,802,687,792,687,10,Na,Carpenter
"Carpet, floor, and tile installers and finishers",89,637,89,634,1,Na,Installer
"Cement masons, concrete finishers, and terrazzo workers",44,Na,44,Na,0,Na,
Construction laborers,1181,639,1155,642,25,Na,
"Paving, surfacing, and tamping equipment operators",10,Na,10,Na,0,Na,
Pile-driver operators,2,Na,2,Na,0,Na,
Operating engineers and other construction equipment operators,324,856,318,859,6,Na,
"Drywall installers, ceiling tile installers, and tapers",121,596,119,595,2,Na,
Electricians,651,888,632,891,19,Na,Electrician
Glaziers,33,Na,32,Na,0,Na,Glazier
Insulation workers,43,Na,41,Na,3,Na,
"Painters, construction and maintenance",344,585,330,587,14,Na,Painter
Paperhangers,0,Na,0,Na,0,Na,
"Pipelayers, plumbers, pipefitters, and steamfitters",456,863,455,862,2,Na,plumber
Plasterers and stucco masons,20,Na,19,Na,1,Na,
Reinforcing iron and rebar workers,9,Na,9,Na,0,Na,
Roofers,171,584,170,580,2,Na,Roofer
Sheet metal workers,106,766,100,776,6,Na,
Structural iron and steel workers,54,869,52,864,2,Na,
Solar photovoltaic installers,8,Na,8,Na,0,Na,
"Helpers, construction trades",47,Na,47,Na,0,Na,"trader, arborist, dealer"
Construction and building inspectors,67,939,58,965,9,Na,inspector
Elevator installers and repairers,23,Na,23,Na,0,Na,repairer
Fence erectors,33,Na,33,Na,0,Na,
Hazardous materials removal workers,39,Na,35,Na,5,Na,
Highway maintenance workers,91,754,91,755,0,Na,
Rail-track laying and maintenance equipment operators,9,Na,9,Na,0,Na,
Septic tank servicers and sewer pipe cleaners,8,Na,8,Na,0,Na,
Miscellaneous construction and related workers,25,Na,23,Na,2,Na,
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",28,Na,27,Na,1,Na,
"Earth drillers, except oil and gas",30,Na,30,Na,0,Na,
"Explosives workers, ordnance handling experts, and blasters",5,Na,5,Na,0,Na,
Mining machine operators,68,1106,65,1098,2,Na,
"Roof bolters, mining",3,Na,3,Na,0,Na,
"Roustabouts, oil and gas",7,Na,7,Na,0,Na,
Helpers--extraction workers,6,Na,6,Na,0,Na,
Other extraction workers,61,900,58,918,3,Na,
MAINTENANCE,4301,839,4159,842,143,761,
"First-line supervisors of mechanics, installers, and repairers",270,1032,252,1033,18,Na,
"Computer, automated teller, and office machine repairers",194,856,166,865,28,Na,
Radio and telecommunications equipment installers and repairers,139,862,126,879,13,Na,
Avionics technicians,4,Na,4,Na,0,Na,
"Electric motor, power tool, and related repairers",22,Na,20,Na,1,Na,
"Electrical and electronics installers and repairers, transportation equipment",2,Na,2,Na,0,Na,
"Electrical and electronics repairers, industrial and utility",18,Na,17,Na,0,Na,
"Electronic equipment installers and repairers, motor vehicles",17,Na,17,Na,0,Na,
Electronic home entertainment equipment installers and repairers,30,Na,28,Na,2,Na,
Security and fire alarm systems installers,67,911,65,913,2,Na,
Aircraft mechanics and service technicians,133,1025,125,1032,7,Na,
Automotive body and related repairers,120,846,118,849,2,Na,
Automotive glass installers and repairers,21,Na,20,Na,1,Na,
Automotive service technicians and mechanics,710,722,694,724,16,Na,
Bus and truck mechanics and diesel engine specialists,327,831,327,830,0,Na,
Heavy vehicle and mobile equipment service technicians and mechanics,206,928,206,928,0,Na,
Small engine mechanics,39,Na,39,Na,0,Na,
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",66,592,65,591,1,Na,
Control and valve installers and repairers,23,Na,23,Na,0,Na,
"Heating, air conditioning, and refrigeration mechanics and installers",341,806,337,810,4,Na,
Home appliance repairers,36,Na,36,Na,0,Na,
Industrial and refractory machinery mechanics,394,895,383,894,11,Na,
"Maintenance and repair workers, general",469,773,459,771,10,Na,
"Maintenance workers, machinery",31,Na,30,Na,1,Na,
Millwrights,49,Na,48,Na,1,Na,
Electrical power-line installers and repairers,113,1105,112,1105,0,Na,
Telecommunications line installers and repairers,157,882,148,880,9,Na,
Precision instrument and equipment repairers,64,996,60,1009,4,Na,
Wind turbine service technicians,3,Na,3,Na,0,Na,
"Coin, vending, and amusement machine servicers and repairers",38,Na,34,Na,4,Na,
Commercial divers,1,Na,1,Na,0,Na,
Locksmiths and safe repairers,12,Na,12,Na,0,Na,
Manufactured building and mobile home installers,4,Na,4,Na,1,Na,
Riggers,7,Na,7,Na,0,Na,Rigger
Signal and track switch repairers,9,Na,9,Na,0,Na,
"Helpers--installation, maintenance, and repair workers",17,Na,17,Na,0,Na,
"Other installation, maintenance, and repair workers",150,792,144,810,6,Na,
PRODUCTION,7551,663,5548,729,2003,519,
First-line supervisors of production and operating workers,783,875,650,924,133,623,
"Aircraft structure, surfaces, rigging, and systems assemblers",15,Na,11,Na,4,Na,
"Electrical, electronics, and electromechanical assemblers",123,554,59,566,64,544,
Engine and other machine assemblers,14,Na,12,Na,2,Na,
Structural metal fabricators and fitters,31,Na,28,Na,3,Na,
Miscellaneous assemblers and fabricators,950,581,573,637,377,512,
Bakers,150,505,69,570,80,475,baker
"Butchers and other meat, poultry, and fish processing workers",247,542,187,582,60,463,
"Food and tobacco roasting, baking, and drying machine operators and tenders",9,Na,7,Na,1,Na,
Food batchmakers,79,500,25,Na,54,489,
Food cooking machine operators and tenders,7,Na,5,Na,2,Na,
"Food processing workers, all other",132,594,82,679,50,508,
Computer control programmers and operators,83,833,81,857,2,Na,
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",8,Na,7,Na,1,Na,
"Forging machine setters, operators, and tenders, metal and plastic",6,Na,6,Na,0,Na,
"Rolling machine setters, operators, and tenders, metal and plastic",15,Na,12,Na,3,Na,
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",78,633,62,674,15,Na,
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",5,Na,5,Na,1,Na,
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",41,Na,39,Na,3,Na,
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",12,Na,11,Na,1,Na,
"Milling and planing machine setters, operators, and tenders, metal and plastic",1,Na,1,Na,0,Na,
Machinists,338,834,320,840,17,Na,Machinist
"Metal furnace operators, tenders, pourers, and casters",29,Na,28,Na,1,Na,
"Model makers and patternmakers, metal and plastic",6,Na,3,Na,3,Na,
"Molders and molding machine setters, operators, and tenders, metal and plastic",47,Na,39,Na,9,Na,
"Multiple machine tool setters, operators, and tenders, metal and plastic",1,Na,1,Na,0,Na,
Tool and die makers,49,Na,49,Na,0,Na,
"Welding, soldering, and brazing workers",568,760,545,767,23,Na,
"Heat treating equipment setters, operators, and tenders, metal and plastic",4,Na,4,Na,0,Na,
"Layout workers, metal and plastic",4,Na,4,Na,1,Na,
"Plating and coating machine setters, operators, and tenders, metal and plastic",24,Na,24,Na,0,Na,
"Tool grinders, filers, and sharpeners",7,Na,7,Na,0,Na,
"Metal workers and plastic workers, all other",351,639,278,678,72,581,
Prepress technicians and workers,14,Na,12,Na,2,Na,
Printing press operators,160,707,134,729,26,Na,
Print binding and finishing workers,16,Na,9,Na,6,Na,
Laundry and dry-cleaning workers,133,466,53,487,80,460,
