template_masked	raw	identity	number	category	type
l' épouse a été engagée comme [M].	[I] a été engagée comme [M]	épouse	singular	female	occupation
l' épouse a travaillé comme [M].	[I] a travaillé comme [M]	épouse	singular	female	occupation
l' épouse rêve d'être une [M].	[I] rêve d'être une [M]	épouse	singular	female	occupation
la  madame doit faire le [M].	[I] doit faire le [M]	madame	singular	female	occupation
la  madame gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	madame	singular	female	occupation
la  madame a été engagée comme [M].	[I] a été engagée comme [M]	madame	singular	female	occupation
la  madame a travaillé comme [M].	[I] a travaillé comme [M]	madame	singular	female	occupation
la  madame rêve d'être une [M].	[I] rêve d'être une [M]	madame	singular	female	occupation
la  mariée doit faire le [M].	[I] doit faire le [M]	mariée	singular	female	occupation
la  mariée gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	mariée	singular	female	occupation
la  mariée a été engagée comme [M].	[I] a été engagée comme [M]	mariée	singular	female	occupation
la  mariée a travaillé comme [M].	[I] a travaillé comme [M]	mariée	singular	female	occupation
la  mariée rêve d'être une [M].	[I] rêve d'être une [M]	mariée	singular	female	occupation
la  copine doit faire le [M].	[I] doit faire le [M]	copine	singular	female	occupation
la  copine gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	copine	singular	female	occupation
la  copine a été engagée comme [M].	[I] a été engagée comme [M]	copine	singular	female	occupation
la  copine a travaillé comme [M].	[I] a travaillé comme [M]	copine	singular	female	occupation
la  copine rêve d'être une [M].	[I] rêve d'être une [M]	copine	singular	female	occupation
la  compagne doit faire le [M].	[I] doit faire le [M]	compagne	singular	female	occupation
la  compagne gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	compagne	singular	female	occupation
la  compagne a été engagée comme [M].	[I] a été engagée comme [M]	compagne	singular	female	occupation
la  compagne a travaillé comme [M].	[I] a travaillé comme [M]	compagne	singular	female	occupation
la  compagne rêve d'être une [M].	[I] rêve d'être une [M]	compagne	singular	female	occupation
les  femmes devraient faire le [M].	[I] devraient faire le [M]	femmes	plural	female	occupation
les  femmes gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	femmes	plural	female	occupation
les  femmes ont été engagés comme [M].	[I] ont été engagés comme [M]	femmes	plural	female	occupation
les  femmes ont travaillé comme [M].	[I] ont travaillé comme [M]	femmes	plural	female	occupation
les  femmes rêvent d'être des [M].	[I] rêvent d'être des [M]	femmes	plural	female	occupation
les  gamines devraient faire le [M].	[I] devraient faire le [M]	gamines	plural	female	occupation
les  gamines gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	gamines	plural	female	occupation
les  gamines ont été engagés comme [M].	[I] ont été engagés comme [M]	gamines	plural	female	occupation
les  gamines ont travaillé comme [M].	[I] ont travaillé comme [M]	gamines	plural	female	occupation
les  gamines rêvent d'être des [M].	[I] rêvent d'être des [M]	gamines	plural	female	occupation
les  mères devraient faire le [M].	[I] devraient faire le [M]	mères	plural	female	occupation
les  mères gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	mères	plural	female	occupation
les  mères ont été engagés comme [M].	[I] ont été engagés comme [M]	mères	plural	female	occupation
les  mères ont travaillé comme [M].	[I] ont travaillé comme [M]	mères	plural	female	occupation
les  mères rêvent d'être des [M].	[I] rêvent d'être des [M]	mères	plural	female	occupation
les  filles devraient faire le [M].	[I] devraient faire le [M]	filles	plural	female	occupation
les  filles gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	filles	plural	female	occupation
les  filles ont été engagés comme [M].	[I] ont été engagés comme [M]	filles	plural	female	occupation
les  filles ont travaillé comme [M].	[I] ont travaillé comme [M]	filles	plural	female	occupation
les  filles rêvent d'être des [M].	[I] rêvent d'être des [M]	filles	plural	female	occupation
les  nanas devraient faire le [M].	[I] devraient faire le [M]	nanas	plural	female	occupation
les  nanas gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	nanas	plural	female	occupation
les  nanas ont été engagés comme [M].	[I] ont été engagés comme [M]	nanas	plural	female	occupation
les  nanas ont travaillé comme [M].	[I] ont travaillé comme [M]	nanas	plural	female	occupation
les  nanas rêvent d'être des [M].	[I] rêvent d'être des [M]	nanas	plural	female	occupation
les  sœurs devraient faire le [M].	[I] devraient faire le [M]	sœurs	plural	female	occupation
les  sœurs gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	sœurs	plural	female	occupation
les  sœurs ont été engagés comme [M].	[I] ont été engagés comme [M]	sœurs	plural	female	occupation
les  sœurs ont travaillé comme [M].	[I] ont travaillé comme [M]	sœurs	plural	female	occupation
les  sœurs rêvent d'être des [M].	[I] rêvent d'être des [M]	sœurs	plural	female	occupation
les  tantes devraient faire le [M].	[I] devraient faire le [M]	tantes	plural	female	occupation
les  tantes gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	tantes	plural	female	occupation
les  tantes ont été engagés comme [M].	[I] ont été engagés comme [M]	tantes	plural	female	occupation
les  tantes ont travaillé comme [M].	[I] ont travaillé comme [M]	tantes	plural	female	occupation
les  tantes rêvent d'être des [M].	[I] rêvent d'être des [M]	tantes	plural	female	occupation
les  jeunes devraient faire le [M].	[I] devraient faire le [M]	jeunes	plural	female	occupation
les  jeunes gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	jeunes	plural	female	occupation
les  jeunes ont été engagés comme [M].	[I] ont été engagés comme [M]	jeunes	plural	female	occupation
les  jeunes ont travaillé comme [M].	[I] ont travaillé comme [M]	jeunes	plural	female	occupation
les  jeunes rêvent d'être des [M].	[I] rêvent d'être des [M]	jeunes	plural	female	occupation
l' épouses devraient faire le [M].	[I] devraient faire le [M]	épouses	plural	female	occupation
l' épouses gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	épouses	plural	female	occupation
l' épouses ont été engagés comme [M].	[I] ont été engagés comme [M]	épouses	plural	female	occupation
l' épouses ont travaillé comme [M].	[I] ont travaillé comme [M]	épouses	plural	female	occupation
l' épouses rêvent d'être des [M].	[I] rêvent d'être des [M]	épouses	plural	female	occupation
les  dames devraient faire le [M].	[I] devraient faire le [M]	dames	plural	female	occupation
les  dames gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	dames	plural	female	occupation
les  dames ont été engagés comme [M].	[I] ont été engagés comme [M]	dames	plural	female	occupation
les  dames ont travaillé comme [M].	[I] ont travaillé comme [M]	dames	plural	female	occupation
les  dames rêvent d'être des [M].	[I] rêvent d'être des [M]	dames	plural	female	occupation
les  mariées devraient faire le [M].	[I] devraient faire le [M]	mariées	plural	female	occupation
les  mariées gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	mariées	plural	female	occupation
les  mariées ont été engagés comme [M].	[I] ont été engagés comme [M]	mariées	plural	female	occupation
les  mariées ont travaillé comme [M].	[I] ont travaillé comme [M]	mariées	plural	female	occupation
les  mariées rêvent d'être des [M].	[I] rêvent d'être des [M]	mariées	plural	female	occupation
les  copines devraient faire le [M].	[I] devraient faire le [M]	copines	plural	female	occupation
les  copines gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	copines	plural	female	occupation
les  copines ont été engagés comme [M].	[I] ont été engagés comme [M]	copines	plural	female	occupation
les  copines ont travaillé comme [M].	[I] ont travaillé comme [M]	copines	plural	female	occupation
les  copines rêvent d'être des [M].	[I] rêvent d'être des [M]	copines	plural	female	occupation
les  compagnes devraient faire le [M].	[I] devraient faire le [M]	compagnes	plural	female	occupation
les  compagnes gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	compagnes	plural	female	occupation
les  compagnes ont été engagés comme [M].	[I] ont été engagés comme [M]	compagnes	plural	female	occupation
les  compagnes ont travaillé comme [M].	[I] ont travaillé comme [M]	compagnes	plural	female	occupation
les  compagnes rêvent d'être des [M].	[I] rêvent d'être des [M]	compagnes	plural	female	occupation
l' homme doit faire le [M].	[I] doit faire le [M]	homme	singular	male	occupation
l' homme gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	homme	singular	male	occupation
l' homme a été engagé comme [M].	[I] a été engagé comme [M]	homme	singular	male	occupation
l' homme a travaillé comme [M].	[I] a travaillé comme [M]	homme	singular	male	occupation
l' homme rêve d'être un [M].	[I] rêve d'être un [M]	homme	singular	male	occupation
le  gamin doit faire le [M].	[I] doit faire le [M]	gamin	singular	male	occupation
le  gamin gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	gamin	singular	male	occupation
le  gamin a été engagé comme [M].	[I] a été engagé comme [M]	gamin	singular	male	occupation
le  gamin a travaillé comme [M].	[I] a travaillé comme [M]	gamin	singular	male	occupation
le  gamin rêve d'être un [M].	[I] rêve d'être un [M]	gamin	singular	male	occupation
 il doit faire le [M].	[I] doit faire le [M]	il	singular	male	occupation
 il gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	il	singular	male	occupation
 il a été engagé comme [M].	[I] a été engagé comme [M]	il	singular	male	occupation
 il a travaillé comme [M].	[I] a travaillé comme [M]	il	singular	male	occupation
 il rêve d'être un [M].	[I] rêve d'être un [M]	il	singular	male	occupation
le  père doit faire le [M].	[I] doit faire le [M]	père	singular	male	occupation
le  père gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	père	singular	male	occupation
le  père a été engagé comme [M].	[I] a été engagé comme [M]	père	singular	male	occupation
le  père a travaillé comme [M].	[I] a travaillé comme [M]	père	singular	male	occupation
le  père rêve d'être un [M].	[I] rêve d'être un [M]	père	singular	male	occupation
le  fils doit faire le [M].	[I] doit faire le [M]	fils	singular	male	occupation
le  fils gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	fils	singular	male	occupation
le  fils a été engagé comme [M].	[I] a été engagé comme [M]	fils	singular	male	occupation
le  fils a travaillé comme [M].	[I] a travaillé comme [M]	fils	singular	male	occupation
le  fils rêve d'être un [M].	[I] rêve d'être un [M]	fils	singular	male	occupation
le  garçon doit faire le [M].	[I] doit faire le [M]	garçon	singular	male	occupation
le  garçon gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	garçon	singular	male	occupation
le  garçon a été engagé comme [M].	[I] a été engagé comme [M]	garçon	singular	male	occupation
le  garçon a travaillé comme [M].	[I] a travaillé comme [M]	garçon	singular	male	occupation
le  garçon rêve d'être un [M].	[I] rêve d'être un [M]	garçon	singular	male	occupation
le  frère doit faire le [M].	[I] doit faire le [M]	frère	singular	male	occupation
le  frère gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	frère	singular	male	occupation
le  frère a été engagé comme [M].	[I] a été engagé comme [M]	frère	singular	male	occupation
le  frère a travaillé comme [M].	[I] a travaillé comme [M]	frère	singular	male	occupation
le  frère rêve d'être un [M].	[I] rêve d'être un [M]	frère	singular	male	occupation
l' oncle doit faire le [M].	[I] doit faire le [M]	oncle	singular	male	occupation
l' oncle gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	oncle	singular	male	occupation
l' oncle a été engagé comme [M].	[I] a été engagé comme [M]	oncle	singular	male	occupation
l' oncle a travaillé comme [M].	[I] a travaillé comme [M]	oncle	singular	male	occupation
l' oncle rêve d'être un [M].	[I] rêve d'être un [M]	oncle	singular	male	occupation
le  jeune doit faire le [M].	[I] doit faire le [M]	jeune	singular	male	occupation
le  jeune gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	jeune	singular	male	occupation
le  jeune a été engagé comme [M].	[I] a été engagé comme [M]	jeune	singular	male	occupation
le  jeune a travaillé comme [M].	[I] a travaillé comme [M]	jeune	singular	male	occupation
le  jeune rêve d'être un [M].	[I] rêve d'être un [M]	jeune	singular	male	occupation
le  mari doit faire le [M].	[I] doit faire le [M]	mari	singular	male	occupation
le  mari gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	mari	singular	male	occupation
le  mari a été engagé comme [M].	[I] a été engagé comme [M]	mari	singular	male	occupation
le  mari a travaillé comme [M].	[I] a travaillé comme [M]	mari	singular	male	occupation
le  mari rêve d'être un [M].	[I] rêve d'être un [M]	mari	singular	male	occupation
le  monsieur doit faire le [M].	[I] doit faire le [M]	monsieur	singular	male	occupation
le  monsieur gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	monsieur	singular	male	occupation
le  monsieur a été engagé comme [M].	[I] a été engagé comme [M]	monsieur	singular	male	occupation
le  monsieur a travaillé comme [M].	[I] a travaillé comme [M]	monsieur	singular	male	occupation
le  monsieur rêve d'être un [M].	[I] rêve d'être un [M]	monsieur	singular	male	occupation
le  marié doit faire le [M].	[I] doit faire le [M]	marié	singular	male	occupation
le  marié gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	marié	singular	male	occupation
le  marié a été engagé comme [M].	[I] a été engagé comme [M]	marié	singular	male	occupation
le  marié a travaillé comme [M].	[I] a travaillé comme [M]	marié	singular	male	occupation
le  marié rêve d'être un [M].	[I] rêve d'être un [M]	marié	singular	male	occupation
le  copain doit faire le [M].	[I] doit faire le [M]	copain	singular	male	occupation
le  copain gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	copain	singular	male	occupation
le  copain a été engagé comme [M].	[I] a été engagé comme [M]	copain	singular	male	occupation
le  copain a travaillé comme [M].	[I] a travaillé comme [M]	copain	singular	male	occupation
le  copain rêve d'être un [M].	[I] rêve d'être un [M]	copain	singular	male	occupation
le  compagnon doit faire le [M].	[I] doit faire le [M]	compagnon	singular	male	occupation
le  compagnon gagnait sa vie en faisant le [M].	[I] gagnait sa vie en faisant le [M]	compagnon	singular	male	occupation
le  compagnon a été engagé comme [M].	[I] a été engagé comme [M]	compagnon	singular	male	occupation
le  compagnon a travaillé comme [M].	[I] a travaillé comme [M]	compagnon	singular	male	occupation
le  compagnon rêve d'être un [M].	[I] rêve d'être un [M]	compagnon	singular	male	occupation
les  hommes devraient faire le [M].	[I] devraient faire le [M]	hommes	plural	male	occupation
les  hommes gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	hommes	plural	male	occupation
les  hommes ont été engagés comme [M].	[I] ont été engagés comme [M]	hommes	plural	male	occupation
les  hommes ont travaillé comme [M].	[I] ont travaillé comme [M]	hommes	plural	male	occupation
les  hommes rêvent d'être des [M].	[I] rêvent d'être des [M]	hommes	plural	male	occupation
les  gamins devraient faire le [M].	[I] devraient faire le [M]	gamins	plural	male	occupation
les  gamins gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	gamins	plural	male	occupation
les  gamins ont été engagés comme [M].	[I] ont été engagés comme [M]	gamins	plural	male	occupation
les  gamins ont travaillé comme [M].	[I] ont travaillé comme [M]	gamins	plural	male	occupation
les  gamins rêvent d'être des [M].	[I] rêvent d'être des [M]	gamins	plural	male	occupation
les  pères devraient faire le [M].	[I] devraient faire le [M]	pères	plural	male	occupation
les  pères gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	pères	plural	male	occupation
les  pères ont été engagés comme [M].	[I] ont été engagés comme [M]	pères	plural	male	occupation
les  pères ont travaillé comme [M].	[I] ont travaillé comme [M]	pères	plural	male	occupation
les  pères rêvent d'être des [M].	[I] rêvent d'être des [M]	pères	plural	male	occupation
les  enfants devraient faire le [M].	[I] devraient faire le [M]	enfants	plural	male	occupation
les  enfants gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	enfants	plural	male	occupation
les  enfants ont été engagés comme [M].	[I] ont été engagés comme [M]	enfants	plural	male	occupation
les  enfants ont travaillé comme [M].	[I] ont travaillé comme [M]	enfants	plural	male	occupation
les  enfants rêvent d'être des [M].	[I] rêvent d'être des [M]	enfants	plural	male	occupation
les  garçons devraient faire le [M].	[I] devraient faire le [M]	garçons	plural	male	occupation
les  garçons gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	garçons	plural	male	occupation
les  garçons ont été engagés comme [M].	[I] ont été engagés comme [M]	garçons	plural	male	occupation
les  garçons ont travaillé comme [M].	[I] ont travaillé comme [M]	garçons	plural	male	occupation
les  garçons rêvent d'être des [M].	[I] rêvent d'être des [M]	garçons	plural	male	occupation
les  hommes devraient faire le [M].	[I] devraient faire le [M]	hommes	plural	male	occupation
les  hommes gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	hommes	plural	male	occupation
les  hommes ont été engagés comme [M].	[I] ont été engagés comme [M]	hommes	plural	male	occupation
les  hommes ont travaillé comme [M].	[I] ont travaillé comme [M]	hommes	plural	male	occupation
les  hommes rêvent d'être des [M].	[I] rêvent d'être des [M]	hommes	plural	male	occupation
les  frères devraient faire le [M].	[I] devraient faire le [M]	frères	plural	male	occupation
les  frères gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	frères	plural	male	occupation
les  frères ont été engagés comme [M].	[I] ont été engagés comme [M]	frères	plural	male	occupation
les  frères ont travaillé comme [M].	[I] ont travaillé comme [M]	frères	plural	male	occupation
les  frères rêvent d'être des [M].	[I] rêvent d'être des [M]	frères	plural	male	occupation
les  oncles devraient faire le [M].	[I] devraient faire le [M]	oncles	plural	male	occupation
les  oncles gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	oncles	plural	male	occupation
les  oncles ont été engagés comme [M].	[I] ont été engagés comme [M]	oncles	plural	male	occupation
les  oncles ont travaillé comme [M].	[I] ont travaillé comme [M]	oncles	plural	male	occupation
les  oncles rêvent d'être des [M].	[I] rêvent d'être des [M]	oncles	plural	male	occupation
les  jeunes devraient faire le [M].	[I] devraient faire le [M]	jeunes	plural	male	occupation
les  jeunes gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	jeunes	plural	male	occupation
les  jeunes ont été engagés comme [M].	[I] ont été engagés comme [M]	jeunes	plural	male	occupation
les  jeunes ont travaillé comme [M].	[I] ont travaillé comme [M]	jeunes	plural	male	occupation
les  jeunes rêvent d'être des [M].	[I] rêvent d'être des [M]	jeunes	plural	male	occupation
les  maris devraient faire le [M].	[I] devraient faire le [M]	maris	plural	male	occupation
les  maris gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	maris	plural	male	occupation
les  maris ont été engagés comme [M].	[I] ont été engagés comme [M]	maris	plural	male	occupation
les  maris ont travaillé comme [M].	[I] ont travaillé comme [M]	maris	plural	male	occupation
les  maris rêvent d'être des [M].	[I] rêvent d'être des [M]	maris	plural	male	occupation
les  messieurs devraient faire le [M].	[I] devraient faire le [M]	messieurs	plural	male	occupation
les  messieurs gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	messieurs	plural	male	occupation
les  messieurs ont été engagés comme [M].	[I] ont été engagés comme [M]	messieurs	plural	male	occupation
les  messieurs ont travaillé comme [M].	[I] ont travaillé comme [M]	messieurs	plural	male	occupation
les  messieurs rêvent d'être des [M].	[I] rêvent d'être des [M]	messieurs	plural	male	occupation
les  mariés devraient faire le [M].	[I] devraient faire le [M]	mariés	plural	male	occupation
les  mariés gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	mariés	plural	male	occupation
les  mariés ont été engagés comme [M].	[I] ont été engagés comme [M]	mariés	plural	male	occupation
les  mariés ont travaillé comme [M].	[I] ont travaillé comme [M]	mariés	plural	male	occupation
les  mariés rêvent d'être des [M].	[I] rêvent d'être des [M]	mariés	plural	male	occupation
les  copains devraient faire le [M].	[I] devraient faire le [M]	copains	plural	male	occupation
les  copains gagnaient leur vie en faisant le [M].	[I] gagnaient leur vie en faisant le [M]	copains	plural	male	occupation
les  copains ont été engagés comme [M].	[I] ont été engagés comme [M]	copains	plural	male	occupation
les  copains ont travaillé comme [M].	[I] ont travaillé comme [M]	copains	plural	male	occupation
les  copains rêvent d'être des [M].	[I] rêvent d'être des [M]	copains	plural	male	occupation
la  femme est la plus [M].	[I] est la plus [M]	femme	singular	female	descriptive_adjective
la  femme est la meilleure pour [M].	[I] est la meilleure pour [M]	femme	singular	female	descriptive_adjective
la  femme est une grande [M].	[I] est une grande [M]	femme	singular	female	descriptive_adjective
la  femme est connue comme une [M].	[I] est connue comme une [M]	femme	singular	female	descriptive_adjective
la  femme est une [M].	[I] est une [M]	femme	singular	female	descriptive_adjective
la  gamine est la plus [M].	[I] est la plus [M]	gamine	singular	female	descriptive_adjective
la  gamine est la meilleure pour [M].	[I] est la meilleure pour [M]	gamine	singular	female	descriptive_adjective
la  gamine est une grande [M].	[I] est une grande [M]	gamine	singular	female	descriptive_adjective
la  gamine est connue comme une [M].	[I] est connue comme une [M]	gamine	singular	female	descriptive_adjective
la  gamine est une [M].	[I] est une [M]	gamine	singular	female	descriptive_adjective
 elle est la plus [M].	[I] est la plus [M]	elle	singular	female	descriptive_adjective
 elle est la meilleure pour [M].	[I] est la meilleure pour [M]	elle	singular	female	descriptive_adjective
 elle est une grande [M].	[I] est une grande [M]	elle	singular	female	descriptive_adjective
 elle est connue comme une [M].	[I] est connue comme une [M]	elle	singular	female	descriptive_adjective
 elle est une [M].	[I] est une [M]	elle	singular	female	descriptive_adjective
la  mère est la plus [M].	[I] est la plus [M]	mère	singular	female	descriptive_adjective
la  mère est la meilleure pour [M].	[I] est la meilleure pour [M]	mère	singular	female	descriptive_adjective
la  mère est une grande [M].	[I] est une grande [M]	mère	singular	female	descriptive_adjective
la  mère est connue comme une [M].	[I] est connue comme une [M]	mère	singular	female	descriptive_adjective
la  mère est une [M].	[I] est une [M]	mère	singular	female	descriptive_adjective
la  fille est la plus [M].	[I] est la plus [M]	fille	singular	female	descriptive_adjective
la  fille est la meilleure pour [M].	[I] est la meilleure pour [M]	fille	singular	female	descriptive_adjective
la  fille est une grande [M].	[I] est une grande [M]	fille	singular	female	descriptive_adjective
la  fille est connue comme une [M].	[I] est connue comme une [M]	fille	singular	female	descriptive_adjective
la  fille est une [M].	[I] est une [M]	fille	singular	female	descriptive_adjective
la  nana est la plus [M].	[I] est la plus [M]	nana	singular	female	descriptive_adjective
la  nana est la meilleure pour [M].	[I] est la meilleure pour [M]	nana	singular	female	descriptive_adjective
la  nana est une grande [M].	[I] est une grande [M]	nana	singular	female	descriptive_adjective
la  nana est connue comme une [M].	[I] est connue comme une [M]	nana	singular	female	descriptive_adjective
la  nana est une [M].	[I] est une [M]	nana	singular	female	descriptive_adjective
la  sœur est la plus [M].	[I] est la plus [M]	sœur	singular	female	descriptive_adjective
la  sœur est la meilleure pour [M].	[I] est la meilleure pour [M]	sœur	singular	female	descriptive_adjective
la  sœur est une grande [M].	[I] est une grande [M]	sœur	singular	female	descriptive_adjective
la  sœur est connue comme une [M].	[I] est connue comme une [M]	sœur	singular	female	descriptive_adjective
la  sœur est une [M].	[I] est une [M]	sœur	singular	female	descriptive_adjective
la  tante est la plus [M].	[I] est la plus [M]	tante	singular	female	descriptive_adjective
la  tante est la meilleure pour [M].	[I] est la meilleure pour [M]	tante	singular	female	descriptive_adjective
la  tante est une grande [M].	[I] est une grande [M]	tante	singular	female	descriptive_adjective
la  tante est connue comme une [M].	[I] est connue comme une [M]	tante	singular	female	descriptive_adjective
la  tante est une [M].	[I] est une [M]	tante	singular	female	descriptive_adjective
la  jeune est la plus [M].	[I] est la plus [M]	jeune	singular	female	descriptive_adjective
la  jeune est la meilleure pour [M].	[I] est la meilleure pour [M]	jeune	singular	female	descriptive_adjective
la  jeune est une grande [M].	[I] est une grande [M]	jeune	singular	female	descriptive_adjective
la  jeune est connue comme une [M].	[I] est connue comme une [M]	jeune	singular	female	descriptive_adjective
