original_professions	simplified_professions	percent_us	german_m	german_f	kldb2010_code	category_de	category_en	percent_de	prof_gender
Crossing guards	crossing guard	48.6	Verkehrslotse	Verkehrslotsin	53182	5 Verkehr, Logistik, Schutz und Sicherheit	Transport, logistics, protection and se­cu­ri­ty	31.16	balanced
Photographers	photographer	49.3	Fotograf	Fotografin	23322	2 Rohstoffgewinnung, Produktion und Fertigung	Raw materials extraction, pro­duc­tion and manu­fac­tu­ring	17.50	balanced
Lifeguards and other recreational, and all other protective service workers	lifeguard	49.4	Bademeister	Bademeisterin	53193	5 Verkehr, Logistik, Schutz und Sicherheit	Transport, logistics, protection and se­cu­ri­ty	31.16	balanced
Lodging managers	lodging manager	49.5	Herbergsverwalter	Herbergsverwalterin	63293	6 Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus	Commercial services, commodity trade, distribution, ho­tels and tou­rism	61.78	balanced
Other healthcare practitioners and technical occupations	healthcare practitioner	49.5	Heilpraktiker	Heilpraktikerin	81752	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	balanced
Advertising sales agents	sales agent	49.7	Vertriebsmitarbeiter	Vertriebsmitarbeiterin	61122	6 Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus	Commercial services, commodity trade, distribution, ho­tels and tou­rism	61.78	balanced
Mail clerks and mail machine operators, except postal service	mail clerk	49.8	Postbeamter	Postbeamtin	51663	5 Verkehr, Logistik, Schutz und Sicherheit	Transport, logistics, protection and se­cu­ri­ty	31.16	balanced
Electrical, electronics, and electromechanical assemblers	electrical assembler	50.4	Elektro-Monteur	Elektro-Monteurin	26212	2 Rohstoffgewinnung, Produktion und Fertigung	Raw materials extraction, pro­duc­tion and manu­fac­tu­ring	17.50	balanced
Insurance sales agents	insurance sales agent	50.6	Versicherungskaufmann	Versicherungskauffrau	72132	7 Unternehmensorganisation, Buchhaltung, Recht und Verwaltung	Business organisation, book­kee­ping, law and ad­mi­nis­tra­tion	65.22	balanced
Insurance underwriters	insurance underwriter	51.1	Versicherungsvermittler	Versicherungsvermittlerin	72133	7 Unternehmensorganisation, Buchhaltung, Recht und Verwaltung	Business organisation, book­kee­ping, law and ad­mi­nis­tra­tion	65.22	balanced
Medical scientists	medical scientist	51.8	medizinischer Wissenschaftler	medizinische Wissenschaftlerin	84304	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	balanced
Statisticians	statistician	52.4	Statistiker	Statistikerin	41114	4 Naturwissenschaft, Geografie und Informatik	Natural sciences, geography and com­pu­ter science	23.49	balanced
Training and development specialists	training specialist	52.5	Ausbilder	Ausbilderin	84223	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	balanced
Judges, magistrates, and other judicial workers	judge	52.5	Richter	Richterin	73154	7 Unternehmensorganisation, Buchhaltung, Recht und Verwaltung	Business organisation, book­kee­ping, law and ad­mi­nis­tra­tion	65.22	balanced
Bartenders	bartender	53.1	Barkeeper	Barkeeperin	63322	6 Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus	Commercial services, commodity trade, distribution, ho­tels and tou­rism	61.78	balanced
Dispatchers	dispatcher	53.1	Fahrdienstleiter	Fahrdienstleiterin	51593	5 Verkehr, Logistik, Schutz und Sicherheit	Transport, logistics, protection and se­cu­ri­ty	31.16	balanced
Order clerks	order clerk	53.3	Auftragssachbearbeiter	Auftragssachbearbeiterin	71302	7 Unternehmensorganisation, Buchhaltung, Recht und Verwaltung	Business organisation, book­kee­ping, law and ad­mi­nis­tra­tion	65.22	balanced
Postal service mail sorters, processors, and processing machine operators	mail sorter	53.3	Postsortierer	Postsortiererin	51321	5 Verkehr, Logistik, Schutz und Sicherheit	Transport, logistics, protection and se­cu­ri­ty	31.16	balanced
